filename,publication_year,study_type,n_patients,patient_population,mean_age,percent_male,disease_phenotype,scoring_systems_used,has_van_assche_magnificd_comparison,mri_field_strength,mri_sequences_used,fibrosis_reported,percent_fibrosis,percent_abscess,percent_healing,clinical_remission_definition,treatment_studied,followup_duration_months,extraction_confidence,data_richness_score,evidence_snippet,extraction_notes,n_crosswalk_comparisons,n_scoring_systems_detailed,extraction_timestamp
Interplay_between_van_der_Waals_and_dipole-dipole_interactions_among_Rydberg_atoms.pdf,,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about Rydberg atom physics and quantum simulation, not Crohn's disease or MRI scoring systems. No clinical data, patient information, or MRI scoring systems are mentioned.",Paper is completely unrelated to Crohn's disease or MRI scoring. It discusses van der Waals and dipole-dipole interactions in Rydberg atoms for quantum simulation applications.,0,0,2025-12-02 15:03:31.419995
Salvage_of_buccal_mucosa_graft_pyeloplasty_in_kidney_transplantation_A_case_report.pdf,2025.0,case report,1.0,adult,73.0,100.0,,,False,,,,,,,,buccal mucosa graft pyeloplasty,12.0,1.0,1,This is a single case report on a surgical technique for urinary fistula repair in a kidney transplant recipient. No MRI scoring systems for Crohn's disease are mentioned.,Paper is unrelated to Crohn's disease or MRI scoring systems. It is a urology case report on a surgical technique for kidney transplant complications. All relevant fields for Crohn's disease MRI research are null.,0,0,2025-12-02 15:03:31.419995
Enhancing_Longitudinal_Clinical_Trial_Efficiency_with_Digital_Twins_and_Prognostic_Covariate-Adjuste.pdf,2024.0,methodological,,,,,,,False,,,,,,,,,,0.2,1,"This paper is a methodological paper about PROCOVA-MMRM for clinical trial efficiency, focusing on Alzheimer's Disease and Amyotrophic Lateral Sclerosis. It does not mention Crohn's disease, MRI scoring systems for Crohn's disease (Van Assche, MAGNIFI-CD, etc.), or any related clinical outcomes.","Paper is entirely about statistical methodology (PROCOVA-MMRM) applied to Alzheimer's and ALS trials. No mention of Crohn's disease, inflammatory bowel disease, or MRI-based scoring systems for gastrointestinal conditions. All relevant fields are null.",0,0,2025-12-02 15:03:31.419995
Privacy-preserving_machine_learning_for_healthcare_open_challenges_and_future_perspectives.pdf,2023.0,review,,,,,,,False,,,,,,,,,,1.0,1,"This paper is a literature review on Privacy-Preserving Machine Learning (PPML) for healthcare, focusing on federated learning, differential privacy, homomorphic encryption, and secure multi-party computation. It does not contain any clinical data, patient populations, or MRI scoring systems related to Crohn's disease.","Paper is a methodological review of privacy-preserving ML techniques in healthcare. Contains no clinical data, patient cohorts, or MRI scoring system data (Van Assche, MAGNIFI-CD, etc.). No extraction of scoring system correlations or comparisons is possible.",0,0,2025-12-02 15:03:31.419995
Quality_Assessment_of_Online_Automated_Privacy_Policy_Generators_An_Empirical_Study.pdf,2020.0,,,,,,,,False,,,,,,,,,,1.0,1,"This paper is about assessing the quality of online automated privacy policy generators for mobile apps. It contains no mention of Crohn's disease, MRI, or any medical scoring systems.","The provided document is a computer science/software engineering paper about privacy policy generators. It contains no clinical data, MRI data, or Crohn's disease information. All relevant fields are set to null or empty as per the rules.",0,0,2025-12-02 15:03:31.419995
A_Combined_Deep_Learning-Gradient_Boosting_Machine_Framework_for_Fluid_Intelligence_Prediction.pdf,,retrospective,8556.0,pediatric,,,,,False,,T1-w,,,,,,,,0.2,1,"This paper is about predicting fluid intelligence scores from T1-w MRIs in the ABCD Neurocognitive Prediction Challenge. It does not mention Crohn's disease, MRI scoring systems for Crohn's disease (Van Assche, MAGNIFI-CD, etc.), or any related clinical outcomes.","Paper is about neuroimaging/fluid intelligence prediction, not Crohn's disease MRI scoring. No relevant data for MRI-Crohn Atlas extraction.",0,0,2025-12-02 15:03:31.419995
Machine_learning_model_based_on_preoperative_MRI_and_clinical_data_for_predicting_pancreatic_fistula.pdf,2025.0,retrospective,139.0,adult,65.0,59.0,,,False,1.5T and 3.0T,"T1WI, T2WI, DWI, ADC, DCE",True,,,,,Pancreaticoduodenectomy,,0.7,1,"This paper is about predicting pancreatic fistula after pancreaticoduodenectomy using MRI radiomics and clinical data (BMI). It does not mention any Crohn's disease MRI scoring systems (Van Assche, MAGNIFI-CD, etc.). The focus is on pancreatic imaging and fistula risk.","Paper is about pancreatic surgery and fistula prediction, not Crohn's disease. No MRI scoring systems for Crohn's disease are mentioned. Extraction is based on general study characteristics, but core MRI-Crohn variables are absent.",0,0,2025-12-02 15:03:31.419995
Dissimilarity-based_representation_for_radiomics_applications.pdf,,,,,,,,,False,,"T1-weighted, T2-weighted, FLAIR",,,,,,,,0.3,1,"The paper is a methodological study on radiomics and multi-view learning, not a clinical study on Crohn's disease. It mentions MRI sequences (T1, T2, FLAIR) in the context of analyzing gliomas, not Crohn's disease. No MRI scoring systems for Crohn's disease (Van Assche, MAGNIFI-CD, etc.) are mentioned or used.","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,0,2025-12-02 15:03:31.419995
Pediatric_Pancreas_Segmentation_from_MRI_Scans_with_Deep_Learning.pdf,,retrospective,84.0,pediatric,11.73,,"acute pancreatitis, chronic pancreatitis",,False,1.5T/3T,"T2-weighted, T2 fat-suppressed, T1-weighted",,,,,,,,0.2,1,"This paper focuses on deep learning for pancreas segmentation in pediatric MRI, not on Crohn's disease or MRI scoring systems for IBD. No mention of Van Assche, MAGNIFI-CD, mVAI, PEMPAC, or Fibrosis Score.","Paper is about pediatric pancreatitis and pancreas segmentation using deep learning. No Crohn's disease content, no MRI scoring systems for IBD, no correlations between scoring systems. Minimal relevant data for MRI-Crohn Atlas.",0,0,2025-12-02 15:03:31.419995
Volumetric_measurement_of_terminal_ileal_Crohn's_disease_by_magnetic_resonance_enterography_a_feasib.pdf,2025.0,prospective,30.0,adult,,40.0,luminal,sMARIA,False,,T2-weighted non-fat saturated,,,,,lack of gastrointestinal symptoms and normal CRP,"biologics (infliximab, adalimumab)",,0.3,2,"The median disease volume of patients with active CD by sMARIA was 15.0 cm³ (8.7, 44.0) compared to 2.85 cm³ (2.6, 3.1) for those with inactive CD. The Spearman’s rank correlation coefficient of mean disease volume against CDEIS was 0.54.","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,1,2025-12-02 15:03:31.419995
"Verification,_Validation_and_Integrity_of_Distributed_and_Interchanged_Rule_Based_Policies_and_Contr.pdf",,,,,,,,,False,,,,,,,,,,0.2,1,"The paper is about verification, validation, and integrity testing of rule-based policies and contracts in the semantic web. It does not contain any information about Crohn's disease, MRI, or MRI scoring systems.",This paper is completely unrelated to the domain of MRI-based Crohn's disease research. No relevant clinical or MRI scoring data could be extracted.,0,0,2025-12-02 15:03:31.419995
Efficient_Password-Typed_Key_Agreement_Scheme.pdf,2010.0,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about computer science and cryptography, specifically password-typed key agreement schemes. It contains no mention of Crohn's disease, MRI, or any medical scoring systems.","The provided document is a computer science paper on cryptographic key agreement protocols. It contains no clinical data, MRI information, or Crohn's disease research. All relevant fields are set to null or empty.",0,0,2025-12-02 15:03:31.419995
How_reproducible_are_data-driven_subtypes_of_Alzheimer's_disease_atrophy.pdf,,retrospective,5444.0,adult,,,,,False,mixed,T1w,,,,,,,,0.2,1,"This paper focuses on Alzheimer's disease atrophy subtypes using the SuStaIn algorithm on T1w MRI volumes. No MRI scoring systems for Crohn's disease (Van Assche, MAGNIFI-CD, mVAI, PEMPAC, Fibrosis Score) are mentioned or used.","Paper is about Alzheimer's disease, not Crohn's disease. No MRI scoring systems relevant to Crohn's disease are discussed. Extraction confidence is low as the content is completely outside the specified domain.",0,0,2025-12-02 15:03:31.419995
Prevalence_and_risk_factors_of_depression_among_patients_with_perianal_fistulizing_Crohn's_disease.pdf,2024.0,observational,123.0,adult,28.55,69.11,perianal fistulizing,modified Van Assche index,False,,,,,,,,,,0.3,3,"The modified Van Assche index (OR = 1.24, 95%CI: 1.01 to 1.53), PDAI score (OR = 0.69, 95%CI: 0.50 to 0.95), IBDQ score (OR = 0.93, 95%CI: 0.88 to 0.97), and IBD-F score (OR = 1.72, 95%CI: 1.23 to 2.42) significantly influenced the prevalence of depression (P < 0.05).","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,1,2025-12-02 15:03:31.419995
Functional_Recovery_From_Prolonged_Severe_Paraparesis_in_Patients_With_Spinal_Dural_Arteriovenous_Fi.pdf,2025.0,case report,2.0,adult,66.0,50.0,,,False,,T2-weighted,,,,,,surgical occlusion of draining vein and arteriovenous shunt,36.0,0.7,1,"This paper reports two cases of spinal dural arteriovenous fistula (sdAVF) with focus on rehabilitation outcomes. No MRI scoring systems for Crohn's disease (Van Assche, MAGNIFI-CD, etc.) are mentioned. The paper uses T2-weighted MRI for diagnosis but discusses neurological scales (ALS, SCIM, BBS, AIS) unrelated to Crohn's disease.","Paper is about spinal dural arteriovenous fistula, not Crohn's disease. No MRI scoring systems for Crohn's disease are present. Extraction is based on clear absence of relevant data.",0,0,2025-12-02 15:03:31.419995
Diffusion_in_LanCoIn3n+2_phases_studied_by_perturbed_angular_correlation.pdf,,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is a physics study of atomic diffusion in intermetallic compounds (La n CoIn 3n+2) using perturbed angular correlation spectroscopy. It contains no clinical data, patient information, or MRI scoring systems related to Crohn's disease.","Paper is completely unrelated to Crohn's disease, MRI, or clinical research. It is a materials science/physics paper about diffusion in crystalline compounds. No relevant data to extract.",0,0,2025-12-02 15:03:31.419995
Identifying_treatment_response_subgroups_in_observational_time-to-event_data.pdf,2025.0,methodological,,,,,,,False,,,,,,,,adjuvant radiotherapy,,0.2,1,"This paper is a methodological machine learning paper about subgroup identification in time-to-event data, using synthetic data and a breast cancer (SEER) case study. It does not mention Crohn's disease, MRI, or any MRI scoring systems (Van Assche, MAGNIFI-CD, etc.).",No relevant clinical data for MRI-based Crohn's disease research. The paper focuses on causal inference methods for survival analysis in oncology (breast cancer). No MRI data or scoring systems are discussed.,0,0,2025-12-02 15:03:31.419995
A_computational_study_of_viscoelastic_blood_flow_in_an_arteriovenous_fistula.pdf,,computational modeling,,,,,,,False,,,,,,,,,,0.2,1,"This paper is a computational fluid dynamics study of blood flow in arteriovenous fistulae using MRI data for geometry and validation. It does not mention Crohn's disease, MRI scoring systems, or clinical outcomes related to inflammatory bowel disease.","Paper is about computational modeling of blood flow in arteriovenous fistulae, not Crohn's disease. No MRI scoring systems for Crohn's disease are mentioned. The paper uses MRI for anatomical geometry and velocity measurements, but not for disease assessment.",0,0,2025-12-02 15:03:31.419995
