source_file,intervention_name,intervention_category,n_total,n_success,success_rate_percent,followup_weeks,is_refractory,is_rct,dose_intensity,combo_therapy,oracle_vibe_score,outcome_type,prior_treatment,fistula_complexity,study_year,confidence_score,effective,stringency_score,stringency_x_vibe,stringency_x_refractory,adjusted_vibe,is_refractory_cohort,previous_biologic_failure,stringency_rating,dropout_rate,concomitant_meds_allowed,blinding,has_placebo_arm,analysis_type,primary_endpoint_type,extraction_confidence,exclusion_reason,sample_size,success_percentage,is_valid_trial,num_healed,data_source,success_class,blinding_Double-Blind,blinding_Open-Label,blinding_Single-Blind,blinding_Unknown,cat_Antibiotic,cat_Biologic,cat_Combination,cat_Other,cat_Small_Molecule,cat_Stem_Cell,cat_Surgical,intervention_category_Antibiotic,intervention_category_Biologic,intervention_category_Combination,intervention_category_Other,intervention_category_Small_Molecule,intervention_category_Stem_Cell,intervention_category_Surgical,blinding_Double-Blind.1,blinding_Open-Label.1,blinding_Single-Blind.1,blinding_Unknown.1,analysis_type_ITT,analysis_type_Modified-ITT,analysis_type_Per-Protocol,analysis_type_Unknown,primary_endpoint_type_Clinical,primary_endpoint_type_Combined,primary_endpoint_type_Endoscopic,primary_endpoint_type_Radiological,primary_endpoint_type_Unknown,study_group,sample_weight,is_small_cohort
Browning_1988_Combined_sphincter_repair_and_postanal_repair_for__PMC2498815.pdf,Combined sphincter repair and postanal repair,Surgical,7.0,7.0,100.0,68.0,1.0,0.0,Unknown,1.0,70.0,Clinical,mixed,Complex,1988.0,85.0,1.0,0.5,0.35,0.5,70.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,7.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,da3eac126197,0.5,1
Jégoux_2005_Hyrtl's_fissure_a_case_of_spontaneous_cerebrospina_PMC7977088.pdf,Surgical repair of Hyrtl’s fissure,Surgical,1.0,1.0,100.0,416.0,0.0,0.0,Unknown,0.0,70.0,Fistula_Closure,unknown,Complex,2005.0,90.0,1.0,0.6,0.42,0.0,68.60000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,1.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,2da4c870e76a,0.5,1
Verstockt_2018_New_treatment_options_for_inflammatory_bowel_disea_PMC5910475.pdf,ustekinumab,Biologic,1154.0,0.0,40.0,0.0,0.0,1.0,Standard,0.0,70.0,Clinical,mixed,Unknown,2018.0,80.0,0.0,1.0,0.7,0.0,63.00000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,1154.0,,,,legacy,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,dda4594a6de3,0.5197780927386666,0
Kang_2022_Efficacy_and_safety_of_traditional_Chinese_medicin_PMC9795008.pdf,Jiedu Shengji decoction,Other,60.0,0.0,0.0,16.0,0.0,1.0,Unknown,0.0,60.0,Clinical,unknown,Unknown,2022.0,80.0,0.0,1.0,0.6,0.0,54.00000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,60.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,bcd22ff06347,0.5,0
"Fathallah_2025_Clinical,_Radiological_and_Pharmacokinetic_Data_of_PMC12531304.pdf",CT-P13 SC,Biologic,39.0,29.0,74.4,70.0,0.0,0.0,High,0.0,70.0,Clinical,bio_experienced,Complex,2025.0,90.0,1.0,0.5,0.35,0.0,70.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,39.0,,,,legacy,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,99a40f1b2508,0.5,0
Deen_1994_Fistulas_in_ano_endoanal_ultrasonographic_assessme_PMC1374597.pdf,Anal Endosonography,Other,18.0,17.0,94.0,0.0,1.0,0.0,Unknown,0.0,70.0,Radiological,bio_naive,Complex,1994.0,90.0,1.0,0.8,0.56,0.8,65.8,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,18.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,93ee336dda67,0.5,1
Hao_2020_Laparoscopic_bowel_resection_combined_with_inflixi_PMC7670938.pdf,Laparoscopic bowel resection combined with infliximab treatment,Combination,106.0,0.0,70.0,156.0,0.0,1.0,Unknown,1.0,60.0,Clinical,unknown,Unknown,2020.0,80.0,0.0,1.0,0.6,0.0,54.00000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,106.0,,,,legacy,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0317dec83861,0.5,0
Samman_2023_Prevalence_and_Risk_Factors_of_Clostridium_diffici_PMC10702809.pdf,Clostridium difficile infection testing,Other,602.0,53.0,8.8,0.0,0.0,0.0,Unknown,0.0,50.0,Clinical,unknown,Unknown,2023.0,50.0,0.0,0.5,0.25,0.0,50.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,602.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,35c717425c59,0.5,0
Fumery_2018_Efficacy_and_Safety_of_Endoscopic_Balloon_Dilatati_PMC6231369.pdf,Endoscopic Balloon Dilatation,Other,20.0,19.0,95.0,156.0,0.0,0.0,Unknown,0.0,70.0,Clinical,unknown,Unknown,2018.0,85.0,1.0,0.5,0.35,0.0,70.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,20.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,7061abbf4cbd,0.5,1
Derakhshani_2025_Surgical_management_of_mucinous_adenocarcinoma_ari_PMC12049996.pdf,Abdominoperineal resection,Surgical,4.0,4.0,100.0,156.0,0.0,0.0,Unknown,1.0,80.0,Clinical,unknown,Unknown,2025.0,90.0,1.0,0.5,0.4,0.0,80.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,4.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,7a66c5fea7cb,0.5,1
